Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL9/91,5,N/A,N/A,858236,NWRA, 727.00 ,Muluzi River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL801/78,5,N/A,N/A,687333,NWRA," 2,273.00 ",Linji River,Irrigation, Not in Use , -   ,No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL24/1982,5,N/A,N/A,720147,NWRA," 3,294.00 ",Ruo River,Power & Domestic," 34,386.07 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL3/1986,5,N/A,N/A,669337,NWRA, 336.00 ,Unnamed Stream (Spring near Likhubula),Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL4/86,5,N/A,N/A,675336,NWRA, 459.00 ,Likhubula Tributary,Irrigation, Not in Use , -   ,No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL39/85,5,N/A,N/A,659342,NWRA, 262.00 ,Lujeri River,Irrigation, Not in Use , -   ,No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL15/95,5,N/A,N/A,866205,NWRA," 9,800.00 ",Ruo River,Irrigation," 102,302.20 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL5/1986,5,N/A,N/A,866205,NWRA," 86,724.00 ",Lichenya River,Irrigation," 905,311.84 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL177/1971,5,N/A,N/A,717208,NWRA, 68.30 ,Lichenya River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL5/2005,5,N/A,N/A,866205,NWRA, 2.70 ,Ruo River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL7/2007,5,N/A,N/A,866205,NWRA," 6,750.00 ",Ruo River,Industrial," 70,463.25 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL133/1976,5,N/A,N/A,866205,NWRA, 110.30 ,Lujeri River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL8/1994,5,N/A,N/A,2848229,NWRA," 2,448.00 ",Lujeri River,Industrial," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL213/1976,5,N/A,N/A,857212,NWRA," 6,750.00 ",Ruo River,Irrigation," 70,463.25 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/21,Naming'omba Tea Estate,Thyolo,T. H Chakukuma,992670231,N/A,"P/B 2 , Thyolo",Naming'omba Tea Estate,N/A,N/A,Thyolo,SL367/1984,5,N/A,N/A,369146,NWRA, 9.60 ,Kwakwasi River,Irrigation," 10,000.00 "," 200,000.00 ",no,yes,yes,0,0,0,0,0,0,0
Surface Water,NWRA/21,Naming'omba Tea Estate,Thyolo,T. H Chakukuma,992670232,N/A,"P/B 2 , Thyolo",Naming'omba Tea Estate,N/A,N/A,Thyolo,SL484/1973,5,N/A,N/A,,NWRA," 2000, 1000 ",Kwakwasi River,"Irrigation, Industrial"," 32,120.00 "," 200,000.00 ",no,yes,yes,0,0,0,0,0,0,0
Surface Water,NWRA/21,Naming'omba Tea Estate,Thyolo,T. H Chakukuma,992670233,N/A,"P/B 2 , Thyolo",Naming'omba Tea Estate,N/A,N/A,Thyolo,SL197/1970,5,N/A,N/A,,NWRA," 7,776.00 ",Namapanga Dam,Irrigation," 81,173.66 "," 200,000.00 ",no,yes,yes,0,0,0,0,0,0,0
Surface Water,NWRA/21,Naming'omba Tea Estate,Thyolo,T. H Chakukuma,992670234,N/A,"P/B 2 , Thyolo",Naming'omba Tea Estate,N/A,N/A,Thyolo,SL29/1985,5,N/A,N/A,,NWRA, 23.00 ,Kwakwasi River,Irrigation," 10,000.00 "," 200,000.00 ",no,yes,yes,0,0,0,0,0,0,0
Surface Water,NWRA/21,Naming'omba Tea Estate,Thyolo,T. H Chakukuma,992670235,N/A,"P/B 2 , Thyolo",Naming'omba Tea Estate,N/A,N/A,Thyolo,SL549/1974,5,N/A,N/A,320263,NWRA, 182.00 ,Kwakwasi River,Irrigation," 10,000.00 "," 200,000.00 ",no,yes,yes,0,0,0,0,0,0,0
Surface Water,NWRA/24,MISSING FILES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A ,N/A,N/A,,,,,,,,,,,,
Surface Water,NWRA/25,SmallHolder Tea Authority,Smallholder ,The General Manager,N/A,N/A,"SmallHolder Tea Authority, PO Box 135, Mulanje",Smallholder ,0770243,8224900,Mulanje,BH Nusery ( Hand pump),5,N/A,N/A,,NWRA, 5.00 ,BH Nusery ( Hand pump),Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/25,SmallHolder Tea Authority,Smallholder ,The General Manager,N/A,N/A,"SmallHolder Tea Authority, PO Box 135, Mulanje",Smallholder ,0769829,8225326,Mulanje,Factory Pump (Submersible Pump),5,N/A,N/A,,NWRA, 10.00 ,Factory Pump (Submersible Pump),Factory," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/25,SmallHolder Tea Authority,Smallholder ,The General Manager,N/A,N/A,"SmallHolder Tea Authority, PO Box 135, Mulanje",Smallholder ,0772016,8226874,Mulanje,Mlodza Intake(Gravity fed),5,N/A,N/A,,NWRA, 10.00 ,Mlodza Intake(Gravity fed),Domestic," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/25,SmallHolder Tea Authority,Chitakale ,The General Manager,N/A,N/A,"SmallHolder Tea Authority, PO Box 135, Mulanje",Chitakale ,0764297,8229412,Mulanje,4B ( Gravity fed from monutain),5,N/A,N/A,,NWRA, 10.00 ,4B ( Gravity fed from monutain),Domestic," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/25,SmallHolder Tea Authority,Chitakale ,The General Manager,N/A,N/A,"SmallHolder Tea Authority, PO Box 135, Mulanje",Chitakale ,0768288,8229055,Mulanje,Guest House (Gravity fed) Chitakale Stream ,5,N/A,N/A,,NWRA, 20.00 ,Guest House (Gravity fed) Chitakale Stream ,Domestic," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/25,SmallHolder Tea Authority,Chitakale ,The General Manager,N/A,N/A,"SmallHolder Tea Authority, PO Box 135, Mulanje",Chitakale ,0768691,8227866,Mulanje,Compound 5 (Gravity fed ) Chitakale Stream,5,N/A,N/A,,NWRA, 20.00 ,Compound 5 (Gravity fed ) Chitakale Stream,Domestic," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/26,J. Tennett & Sons LTD,Luchenza,N/A,N/A,N/A,"PO Box 8, Luchenza",Mulanje,N/A,N/A,Mulanje,N/A,5,N/A,N/A,,, 3.70 ,N/A,N/A," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/28,Consolidated Textiles (Malawi) Limited,"Plot No.BL319, a portion of Mapanga Estate in the city of Blantyre",,,NA,"PO Box 5350, Limbe","Plot No.BL319, a portion of Mapanga Estate in the city of Blantyre",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, 2.70 ,,,,,,,,,,,,,,
Surface Water,NWRA/29,MISSING FILES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,
Surface Water,NWRA/30B,Munda wa Bwino Ltd,N/A,N/A,N/A,N/A,"PO Box 30, Thyolo",N/A,N/A,N/A,Thyolo,GL2219/1978,5,N/A,N/A,,NWRA, 300.00 ,,Domestic," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/30B,Munda wa Bwino Ltd,N/A,N/A,N/A,N/A,"PO Box 30, Thyolo",N/A,N/A,N/A,Thyolo,GL2219/1979,5,N/A,N/A,,NWRA, 300.00 ,,Public Domestic," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/30B,Munda wa Bwino Ltd,N/A,N/A,N/A,N/A,"PO Box 30, Thyolo",N/A,N/A,N/A,Thyolo,GL2219/1980,5,N/A,N/A,,NWRA," 2,000.00 ",,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/31,Lilongwe Land & Development Program (LLAD),N/A,Not in operation,Not in operation,Not in operation,Not in operation,Not in operation,Not in operation,Not in operation,Not in operation,Not in operation,Not in operation,Not in operation,Not in operation,Not in operation,Not in operation, Not in operation ,Not in operation,Not in operation,,,,,,,,,,,,
Surface Water,NWRA/32 A,W & C French (Malawi) Limited,Cancelled,Cancelled,Cancelled,Cancelled,Cancelled,Cancelled,Cancelled,Cancelled,Cancelled,Cancelled,Cancelled,Cancelled,Cancelled,Cancelled,Cancelled, Cancelled ,Cancelled,Cancelled, Cancelled , Cancelled ,,,,,,,,,,
Surface Water,NWRA/33,"KALIMILA ESTATE, CHICHIRI BT",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/33A,BANDANGA LTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/35,ROSEHAUGH (AFRICA) LTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/36,MISSING FILES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/37,CANCELLED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/38 A,Chipunga Farm,P/A Chikwinda,E.D. Mwasi,,,"PO Box 82, Mzuzu",P/A Chikwinda,,,Mzuzu,SL269/1997,5,N/A,N/A,A697046,NWRA, 5.60 ,Tributory of Klonga,Domestic," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/40,MISSING FILES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NWRA, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/41,MISSING FILES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NWRA, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/42,Chirambe Estate,"Block 3 of Chirambe Estate, Bvumbwe",C.G. Whitehead ,,,"PO Box 5558, Limbe","Block 3 of Chirambe Estate, Bvumbwe",N/A,N/A,Thyolo,N/A,N/A,N/A,N/A,N/A,NWRA, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/43,Crozier & WrightLtd,"Kilbirniue Tea Estate, Cholo",Cancelled,Cancelled,Cancelled,"PO Box 5, Luchenza","Kilbirniue Tea Estate, Cholo",Cancelled,Cancelled,Mulanje,Cancelled,Cancelled,Cancelled,Cancelled,Cancelled,NWRA, Cancelled ,Cancelled,Cancelled, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/45,B.A.T (Malawi) Limited,NO LONGER IN USE,NO LONGER IN USE,NO LONGER IN USE,NO LONGER IN USE,NO LONGER IN USE,NO LONGER IN USE,NO LONGER IN USE,NO LONGER IN USE,NO LONGER IN USE,NO LONGER IN USE,NO LONGER IN USE,NO LONGER IN USE,,,NWRA, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/45A,Mr R.R Patel,Blantyre,N/A,N/A,N/A,"P/B 2311, Blantyre",Blantyre,N/A,N/A,Blantyre,GL1652/1973,10,N/A,N/A,,NWRA, N/A ,N/A,N/A," 10,000.00 "," 200,000.00 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/46,MISSING FILES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NWRA, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/47,MISSING FILES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NWRA, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/48,Malawi Revenue Authority,Limbe,N/A,N/A,N/A,"P/B 5057, Limbe",Sandama Customs Post,N/A,N/A,Blantyre,N/A,N/A,N/A,N/A,,NWRA, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/48,Malawi Revenue Authority,Limbe,N/A,N/A,N/A,"P/B 5057, Limbe","Biriwiri Customs Post, Ntcheu",N/A,N/A,Ntcheu,N/A,N/A,N/A,N/A,,NWRA, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/48,Malawi Revenue Authority,Limbe,N/A,N/A,N/A,"P/B 5057, Limbe",Chiponde Customs Post,N/A,N/A,Mangochi,N/A,N/A,N/A,N/A,,NWRA, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/48,Malawi Revenue Authority,Limbe,N/A,N/A,N/A,"P/B 5057, Limbe",Chisenga Customs Post,N/A,N/A,Chitipa,N/A,N/A,N/A,N/A,,NWRA, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/48,Malawi Revenue Authority,Limbe,N/A,N/A,N/A,"P/B 5057, Limbe",Kachinda Customs Post,N/A,N/A,kasungu,N/A,N/A,N/A,N/A,,NWRA, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/48,Malawi Revenue Authority,Limbe,N/A,N/A,N/A,"P/B 5057, Limbe",Kibwe Customs Post,N/A,N/A,Karonga,N/A,N/A,N/A,N/A,,NWRA, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/48,Malawi Revenue Authority,Limbe,N/A,N/A,N/A,"P/B 5057, Limbe",Mqocha Customs Post,N/A,N/A,Mzimba,N/A,N/A,N/A,N/A,,NWRA, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/49,MISSING FILES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NWRA, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/50,Malawi Railways Limited,484 miles between Salima & Chipoka,N/A,N/A,N/A,"PO Box 5144, Limbe",484 miles between Salima & Chipoka,N/A,N/A,Salima,GL.1304/1977,5,N/A,N/A,605597,NWRA, N/A ,N/A,N/A," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/50,Malawi Railways Limited,263 1/2 miles Sankhulani Station ,N/A,N/A,N/A,"PO Box 5144, Limbe",263 1/2 miles Sankhulani Station ,N/A,N/A,,GL.1340/1977,5,N/A,N/A,415798,NWRA, N/A ,N/A,N/A," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/50,Malawi Railways Limited,Chirumba Port ,N/A,N/A,N/A,"PO Box 5144, Limbe",Chirumba Port ,N/A,N/A,,SL704/1976,5,N/A,N/A,,NWRA, 11.30 ,Lake Malawi,N/A," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/50,Malawi Railways Limited,Monkeybay Dockyard ,N/A,N/A,N/A,"PO Box 5144, Limbe",Monkeybay Dockyard ,N/A,N/A,,,5,N/A,N/A,,NWRA, 151.40 ,Lake Malawi,N/A," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/50,Central East African Railways,Limbe,N/A,N/A,N/A,"P/B 5144, Limbe",Chirumba Port,N/A,N/A,Karonga,SL704/1976,N/A,N/A,N/A,,NWRA, 9.50 ,Lake Malawi,Domestic," 10,000.00 "," 200,000.00 ",no,no,no,no,no,no,no,no,no,no
Surface Water,NWRA/50,Central East African Railways,Limbe,N/A,N/A,N/A,"P/B 5144, Limbe",Monkey Bay,N/A,N/A,Mangochi,SL705/1976,N/A,N/A,N/A,,NWRA," 68.2,   113.6 ",Lake Malawi,"Domestic , Public"," 10,000.00 "," 200,000.00 ",no,no,no,no,no,no,no,no,no,no
Surface Water,NWRA/50,Central East African Railways,Limbe,N/A,N/A,N/A,"P/B 5144, Limbe",Nansadi,N/A,N/A,Blantyre,SL706/1976,N/A,N/A,N/A,,NWRA," 113.6,   181.8 ",Lake Malawi,"Domestic , Public"," 10,000.00 "," 200,000.00 ",no,no,no,no,no,no,no,no,no,no
Surface Water,NWRA/50,Central East African Railways,Limbe,N/A,N/A,N/A,"P/B 5144, Limbe",Nsanje,N/A,N/A,Nsanje,SL304/1971,N/A,N/A,N/A,,NWRA, 4.55 ,Shire River,Public," 10,000.00 "," 200,000.00 ",no,no,no,no,no,no,no,no,no,no
Surface Water,NWRA/50,Central East African Railways,Limbe,N/A,N/A,N/A,"P/B 5144, Limbe",Sankhulani,N/A,N/A,Blantyre,SL305/1971,N/A,N/A,N/A,,NWRA, 4.55 ,Nansadi River,Public," 10,000.00 "," 200,000.00 ",no,no,no,no,no,no,no,no,no,no
Surface Water,NWRA/50,Central East African Railways,Limbe,N/A,N/A,N/A,"P/B 5144, Limbe",Sandama,N/A,N/A,Blantyre,SL306/1971,N/A,N/A,N/A,,NWRA, 4.55 ,Ruo River,Public," 10,000.00 "," 200,000.00 ",no,no,no,no,no,no,no,no,no,no
Surface Water,NWRA/50,Central East African Railways,Limbe,N/A,N/A,N/A,"P/B 5144, Limbe",Shire North,N/A,N/A,Blantyre,SL307/1971,N/A,N/A,N/A,,NWRA, 4.55 ,Luchenza River,Public," 10,000.00 "," 200,000.00 ",no,no,no,no,no,no,no,no,no,no
Surface Water,WRA/51G,Geological Survey Department,NA,NA,NA,NA,"Box 27, Zomba",NA,N/A,N/A,Zomba,SL33/1988,5,20/09/1998,20/09/1988,NA,NWRA, 5.00 ,Linthipe,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/51,Norman Dawbarn for Ministry of Agricultre,NA,NA,NA,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/51,"Karonga ADD, Ministry of Agriculture",Lufira Irrigation Scheme,Principal Irrigation Engineer,N/A,N/A,"PO Box 591, Lilongwe",Lufira Irrigation Scheme,N/A,N/A,N/A,GL852/78,5,N/A,N/A,,NWRA, 308.00 ,Lufira River,Irrigation,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/51,"Karonga ADD, Ministry of Agriculture",Hara Irrigation Scheme,N/A,N/A,N/A,"C.I.C. Lunyangwa, PO Box 59, Mzuzu",,N/A,N/A,N/A,GL236/71,5,N/A,N/A,,NWRA, 15.00 ,,Domestic," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/51,"Karonga ADD, Ministry of Agriculture",Misuku Training Center,N/A,N/A,N/A,"C/O PO Box 12, Chitipa",Misuku,N/A,N/A,Chitipa,GL257/1971,5,N/A,N/A,,,,,,,,,,,,,,,,,
Surface Water,NWRA/51,"Karonga ADD, Ministry of Agriculture",Chisenga,N/A,N/A,N/A,,Chisenga,N/A,N/A,Chitipa,GL256/1971,5,N/A,N/A,414977,NWRA,,,,,,,,,,,,,,,
Surface Water,NWRA/51,"Karonga ADD, Ministry of Agriculture",Chena-chena Trainig Center,N/A,N/A,N/A,"PO Box 12, Rumphi",Chena-chena,N/A,N/A,Rumphi,GL255/1971,5,N/A,N/A,,,,,,,,,,,,,,,,,
Surface Water,NWRA/51C,Ngabu ADD,"Ngabu, Chikwawa",N/A,N/A,N/A,"P/B 1, Ngabu, Chikwawa","Ngabu, Chikwawa",N/A,N/A,Chikwawa,SL909/1978,5,41607,39781,,,,,," 10,000.00 "," 200,000.00 ",no,no,no,no,no,no,no,no,no,no
Surface Water,,"Geological Survey Department, Zomba ",Bangula,The Chief Geologist,N/A,N/A,"PO Box 27, Zomba",Bangula,N/A,N/A,Nsanje,,5,N/A,N/A,246664,NWRA, 5.00 ,,,,,,,,,,,,,,
Surface Water,NWRA/51A,Fisheries DEPT,Domasi Fish Ponds,N/A,N/A,N/A,"P/B 700, Chimaliro, Mzuzu",Domasi Fish Ponds,N/A,N/A,Zomba,N/A,N/A,N/A,N/A,,,,,," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/51B,Fisheries DEPT,Fisheries DEPT - Mzuzu,N/A,N/A,N/A,"P/B 700, Chimaliro, Mzuzu",Fisheries DEPT - Mzuzu,N/A,N/A,Mzuzu,SL254/1971,5,N/A,N/A,120337,NWRA, 36.00 ,Lunyangwa River,Fisheries," 10,000.00 "," 200,000.00 ",no,no,no,no,no,no,no,no,no,no
Surface Water,NWRA/51B,Fisheries DEPT,Fisheries DEPT - Mzuzu,N/A,N/A,N/A,"P/B 700, Chimaliro, Mzuzu",Fisheries DEPT - Mzuzu,N/A,N/A,Mzuzu,SL256/1971,5,N/A,N/A,414974,NWRA," 5,  5 ",Chisenga River,"Domestic, Irrigation"," 10,000.00 "," 200,000.00 ",no,no,no,no,no,no,no,no,no,no
Surface Water,NWRA/51B,Fisheries DEPT,Fisheries DEPT - Mzuzu,N/A,N/A,N/A,"P/B 700, Chimaliro, Mzuzu",Fisheries DEPT - Mzuzu,N/A,N/A,Mzuzu,SL2/1990,5,N/A,N/A,N/A,NWRA, 384.00 ,Lunyangwa River,Irrigation," 10,000.00 "," 200,000.00 ",no,no,no,no,no,no,no,no,no,no
Surface Water,NWRA/51B,Fisheries DEPT,Fisheries DEPT - Mzuzu,N/A,N/A,N/A,"P/B 700, Chimaliro, Mzuzu",Fisheries DEPT - Mzuzu,N/A,N/A,Mzuzu,GL419/1971,10,N/A,N/A,N/A,NWRA, N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/51B,Fisheries DEPT,Fisheries DEPT - Mzuzu,N/A,N/A,N/A,"P/B 700, Chimaliro, Mzuzu",Fisheries DEPT - Mzuzu,N/A,N/A,Mzuzu,GL420/1971,10,N/A,N/A,N/A,NWRA, N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/51B,Fisheries DEPT,Fisheries DEPT - Mzuzu,N/A,N/A,N/A,"P/B 700, Chimaliro, Mzuzu",Fisheries DEPT - Mzuzu,N/A,N/A,Mzuzu,GL1648/73,10,N/A,N/A,N/A,NWRA, N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/51B,Fisheries DEPT,Fisheries DEPT - Mzuzu,N/A,N/A,N/A,"P/B 700, Chimaliro, Mzuzu",Fisheries DEPT - Mzuzu,N/A,N/A,Mzuzu,GL1649/1973,10,N/A,N/A,N/A,NWRA, N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/51B,Fisheries DEPT,Mpwepwe Fisheries - Mangochi,N/A,N/A,N/A,"P/B 700, Chimaliro, Mzuzu",Mpwepwe Fisheries - Mangochi,N/A,N/A,Mangochi,SL391/1973,5,N/A,N/A,N/A,NWRA, 23.00 ,Lake Malawi,Fisheries," 10,000.00 "," 200,000.00 ",no,no,no,no,no,no,no,no,no,no
Surface Water,NWRA/51B,Fisheries DEPT,Domasi Fish Ponds,N/A,N/A,N/A,"P/B 700, Chimaliro, Mzuzu",Domasi Fish Ponds,N/A,N/A,Zomba,SL252/1971,5,N/A,N/A,N/A,NWRA, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
